BRANCH,year,month,circulation_num
"Daley, Richard J.- Bridgeport",2020,FEBRUARY,4534
Manning,2020,FEBRUARY,1597
Portage-Cragin,2020,FEBRUARY,4989
Greater Grand Crossing,2020,FEBRUARY,1021
Scottsdale,2020,FEBRUARY,1661
Altgeld,2020,FEBRUARY,271
West Lawn,2020,FEBRUARY,2954
Back of the Yards,2020,FEBRUARY,1847
Rogers Park,2020,FEBRUARY,8311
Garfield Ridge,2020,FEBRUARY,3688
King,2020,FEBRUARY,1770
Water Works,2020,FEBRUARY,4327
"Daley, Richard M.- W Humboldt",2020,FEBRUARY,2600
Humboldt Park,2020,FEBRUARY,4248
Sulzer Regional Library,2020,FEBRUARY,28385
Blackstone,2020,FEBRUARY,7461
North Austin,2020,FEBRUARY,869
West Town,2020,FEBRUARY,4537
Budlong Woods,2020,FEBRUARY,6714
Lincoln Park,2020,FEBRUARY,11556
West Englewood,2020,FEBRUARY,905
Archer Heights,2020,FEBRUARY,3498
Hegewisch,2020,FEBRUARY,1334
Independence,2020,FEBRUARY,7177
Lozano,2020,FEBRUARY,2838
South Shore,2020,FEBRUARY,965
Chinatown,2020,FEBRUARY,5774
Douglass,2020,FEBRUARY,879
Logan Square,2020,FEBRUARY,10359
Roden,2020,FEBRUARY,4675
Galewood-Mont Clare,2020,FEBRUARY,628
West Belmont,2020,FEBRUARY,4840
Bucktown-Wicker Park,2020,FEBRUARY,9222
North Pulaski,2020,FEBRUARY,1962
McKinley Park,2020,FEBRUARY,4363
Downloadable Media,2020,FEBRUARY,166250
West Pullman,2020,FEBRUARY,1491
Beverly,2020,FEBRUARY,3822
Legler Regional,2020,FEBRUARY,0
Toman,2020,FEBRUARY,3785
Austin,2020,FEBRUARY,1235
Wrightwood-Ashburn,2020,FEBRUARY,1244
Jefferson Park,2020,FEBRUARY,5460
Mayfair,2020,FEBRUARY,2892
South Chicago,2020,FEBRUARY,1234
Clearing,2020,FEBRUARY,2139
Merlo,2020,FEBRUARY,0
Uptown,2020,FEBRUARY,7308
Chicago Lawn,2020,FEBRUARY,2506
Harold Washington Library Center,2020,FEBRUARY,42078
Brighton Park,2020,FEBRUARY,2830
West Chicago Avenue,2020,FEBRUARY,713
Little Village,2020,FEBRUARY,2444
Lincoln Belmont,2020,FEBRUARY,13412
Gage Park,2020,FEBRUARY,1233
Northtown,2020,FEBRUARY,9613
Dunning,2020,FEBRUARY,3407
Bezazian,2020,FEBRUARY,7405
West Loop,2020,FEBRUARY,4618
Pullman,2020,FEBRUARY,716
Patron Initiated renewals (automated phone),2020,FEBRUARY,1204
Jeffery Manor,2020,FEBRUARY,500
Hall,2020,FEBRUARY,1108
Mount Greenwood,2020,FEBRUARY,3804
Coleman,2020,FEBRUARY,1750
Austin-Irving,2020,FEBRUARY,7175
Woodson Regional Library,2020,FEBRUARY,4162
Thurgood Marshall,2020,FEBRUARY,1471
Chicago Bee,2020,FEBRUARY,728
Vodak-East Side,2020,FEBRUARY,2091
Sherman Park,2020,FEBRUARY,521
Patron Initiated renewals (online),2020,FEBRUARY,43467
Walker,2021,FEBRUARY,705
Albany Park,2021,FEBRUARY,3486
Avalon,2021,FEBRUARY,1099
Brainerd,2021,FEBRUARY,349
Oriole Park,2021,FEBRUARY,3797
Little Italy,2021,FEBRUARY,3273
Edgebrook,2021,FEBRUARY,5498
Kelly,2021,FEBRUARY,268
Edgewater,2021,FEBRUARY,10185
Near North,2021,FEBRUARY,6872
Canaryville,2021,FEBRUARY,0
"Daley, Richard J.- Bridgeport",2021,FEBRUARY,3152
Manning,2021,FEBRUARY,0
Portage-Cragin,2021,FEBRUARY,2903
"Whitney M. Young, Jr.",2021,FEBRUARY,441
