CRASH_RECORD_ID,by_year_crash_date,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,ROAD_DEFECT
2,01/01/2019 12:00:00 AM,PEDESTRIAN CROSSING SIGN,UNKNOWN,UNKNOWN
4,01/01/2019 12:00:00 AM,TRAFFIC SIGNAL,NO CONTROLS,OTHER
10,01/01/2022 12:00:00 AM,OTHER RAILROAD CROSSING,FUNCTIONING PROPERLY,NO DEFECTS
1,01/01/2023 12:00:00 AM,NO CONTROLS,OTHER,WORN SURFACE
79,01/01/2019 12:00:00 AM,UNKNOWN,NO CONTROLS,UNKNOWN
11,01/01/2023 12:00:00 AM,FLASHING CONTROL SIGNAL,FUNCTIONING PROPERLY,UNKNOWN
1,01/01/2020 12:00:00 AM,TRAFFIC SIGNAL,FUNCTIONING IMPROPERLY,OTHER
26640,01/01/2019 12:00:00 AM,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,NO DEFECTS
1,01/01/2023 12:00:00 AM,FLASHING CONTROL SIGNAL,OTHER,UNKNOWN
55,01/01/2021 12:00:00 AM,OTHER REG. SIGN,OTHER,NO DEFECTS
17,01/01/2022 12:00:00 AM,POLICE/FLAGMAN,FUNCTIONING PROPERLY,NO DEFECTS
1,01/01/2021 12:00:00 AM,TRAFFIC SIGNAL,OTHER,WORN SURFACE
16,01/01/2020 12:00:00 AM,NO CONTROLS,NOT FUNCTIONING,UNKNOWN
5,01/01/2021 12:00:00 AM,STOP SIGN/FLASHER,OTHER,OTHER
1,01/01/2020 12:00:00 AM,DELINEATORS,UNKNOWN,UNKNOWN
4,01/01/2022 12:00:00 AM,NO CONTROLS,FUNCTIONING PROPERLY,"RUT, HOLES"
13,01/01/2019 12:00:00 AM,NO CONTROLS,UNKNOWN,"RUT, HOLES"
5,01/01/2022 12:00:00 AM,NO PASSING,FUNCTIONING PROPERLY,NO DEFECTS
1,01/01/2020 12:00:00 AM,NO CONTROLS,UNKNOWN,WORN SURFACE
5,01/01/2019 12:00:00 AM,NO CONTROLS,UNKNOWN,OTHER
1,01/01/2020 12:00:00 AM,OTHER,FUNCTIONING PROPERLY,DEBRIS ON ROADWAY
833,01/01/2021 12:00:00 AM,UNKNOWN,UNKNOWN,NO DEFECTS
3,01/01/2019 12:00:00 AM,OTHER REG. SIGN,FUNCTIONING IMPROPERLY,NO DEFECTS
149,01/01/2020 12:00:00 AM,STOP SIGN/FLASHER,NO CONTROLS,UNKNOWN
2,01/01/2023 12:00:00 AM,OTHER,FUNCTIONING PROPERLY,WORN SURFACE
1,01/01/2020 12:00:00 AM,POLICE/FLAGMAN,NO CONTROLS,UNKNOWN
1,01/01/2020 12:00:00 AM,UNKNOWN,NO CONTROLS,SHOULDER DEFECT
45,01/01/2023 12:00:00 AM,TRAFFIC SIGNAL,FUNCTIONING IMPROPERLY,UNKNOWN
1,01/01/2022 12:00:00 AM,POLICE/FLAGMAN,FUNCTIONING IMPROPERLY,OTHER
112,01/01/2019 12:00:00 AM,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,OTHER
7,01/01/2019 12:00:00 AM,POLICE/FLAGMAN,NO CONTROLS,NO DEFECTS
21,01/01/2023 12:00:00 AM,PEDESTRIAN CROSSING SIGN,NO CONTROLS,NO DEFECTS
1,01/01/2019 12:00:00 AM,TRAFFIC SIGNAL,UNKNOWN,WORN SURFACE
4,01/01/2023 12:00:00 AM,OTHER,UNKNOWN,OTHER
9,01/01/2019 12:00:00 AM,STOP SIGN/FLASHER,WORN REFLECTIVE MATERIAL,NO DEFECTS
238,01/01/2022 12:00:00 AM,TRAFFIC SIGNAL,FUNCTIONING IMPROPERLY,NO DEFECTS
4,01/01/2022 12:00:00 AM,STOP SIGN/FLASHER,WORN REFLECTIVE MATERIAL,WORN SURFACE
2,01/01/2021 12:00:00 AM,RAILROAD CROSSING GATE,OTHER,NO DEFECTS
231,01/01/2023 12:00:00 AM,TRAFFIC SIGNAL,FUNCTIONING IMPROPERLY,NO DEFECTS
4,01/01/2019 12:00:00 AM,OTHER REG. SIGN,FUNCTIONING PROPERLY,UNKNOWN
3,01/01/2020 12:00:00 AM,TRAFFIC SIGNAL,NO CONTROLS,OTHER
2,01/01/2020 12:00:00 AM,UNKNOWN,FUNCTIONING IMPROPERLY,NO DEFECTS
3,01/01/2021 12:00:00 AM,DELINEATORS,NO CONTROLS,NO DEFECTS
9,01/01/2019 12:00:00 AM,OTHER RAILROAD CROSSING,FUNCTIONING PROPERLY,NO DEFECTS
879,01/01/2020 12:00:00 AM,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,UNKNOWN
2,01/01/2019 12:00:00 AM,SCHOOL ZONE,FUNCTIONING PROPERLY,UNKNOWN
3,01/01/2021 12:00:00 AM,RR CROSSING SIGN,FUNCTIONING PROPERLY,UNKNOWN
64,01/01/2022 12:00:00 AM,STOP SIGN/FLASHER,FUNCTIONING IMPROPERLY,NO DEFECTS
1,01/01/2021 12:00:00 AM,DELINEATORS,FUNCTIONING PROPERLY,OTHER
4,01/01/2022 12:00:00 AM,POLICE/FLAGMAN,OTHER,NO DEFECTS
2,01/01/2019 12:00:00 AM,POLICE/FLAGMAN,NO CONTROLS,UNKNOWN
364,01/01/2021 12:00:00 AM,NO CONTROLS,NO CONTROLS,OTHER
441,01/01/2021 12:00:00 AM,NO CONTROLS,FUNCTIONING PROPERLY,NO DEFECTS
1,01/01/2022 12:00:00 AM,UNKNOWN,NO CONTROLS,"RUT, HOLES"
1,01/01/2020 12:00:00 AM,NO PASSING,NO CONTROLS,NO DEFECTS
6,01/01/2023 12:00:00 AM,OTHER RAILROAD CROSSING,FUNCTIONING PROPERLY,NO DEFECTS
1,01/01/2020 12:00:00 AM,UNKNOWN,NO CONTROLS,WORN SURFACE
12,01/01/2021 12:00:00 AM,OTHER REG. SIGN,NO CONTROLS,NO DEFECTS
2,01/01/2022 12:00:00 AM,NO CONTROLS,FUNCTIONING IMPROPERLY,UNKNOWN
173,01/01/2021 12:00:00 AM,OTHER,OTHER,NO DEFECTS
